"id";"create_time";"img";"title";"info";"infodetail";"price"
1;"2022-12-15 14:11:09";"uploads/wood-gold1671081069425.jpg";"[뱅골프] LIGHT EMPEROR I (GOLD) 뱅드라이버";"(초경량 + 극초고반발) 남성용/여성용";"세계 최고 초고반발 기술력과 초경량 클럽으로 압도적인 비거리 증가를 경험 하실 수 있습니다.";"5,000,000"
2;"2022-12-15 14:26:21";"uploads/wood-blue1671085386753.jpg";"[뱅골프] LIGHT PLUS (BLUE) 뱅드라이버";" (초경량 + 극초고반발) 남성용드라이버";"세계 최고 초고반발 기술력으로 비거리 50yd 증가된 압도적인 비거리를 경험 하실 수 있습니다.";"2,700,000"
3;"2022-12-15 14:32:09";"uploads/wood-pink1671082329244.jpg";"[뱅골프] LIGHT PLUS (PINK) 뱅드라이버";"(초경량 + 극초고반발) 여성용드라이버";"세계 최고 초고반발 기술력으로 비거리 50yd 증가된 압도적인 비거리를 경험 하실 수 있습니다.";"2,700,000"
4;"2022-12-15 14:34:24";"uploads/wood-yellow1671082464641.jpg";"[뱅골프] LONGDISTANCE 470";"고반발 뱅드라이버 남성용/여성용";"세계 최고 초고반발 기술력으로 비거리 33yd 증가된 압도적인 비거리를 경험 하실 수 있습니다.";"1,700,000"
5;"2022-12-15 14:35:13";"uploads/longdistance11671082513320.jpg";"[뱅골프] LONGDISTANCE 470 초고반발";"뱅드라이버 [왼손용] 남성용/여성용";"세계 최고 초고반발 기술력으로 비거리 33yd 증가된 압도적인 비거리를 경험 하실 수 있습니다.";"1,700,000"
7;"2022-12-15 15:34:07";"uploads/bag-gothic1671086186592.jpg";"[뱅골프] CLASS LIMITED GOLF BAG";"BANG Premium Golf-Bag Wine/Navy";"필드에서 중후한 매력이 느껴지는 ""그 남자의 엣지"" 골퍼들의 요구를 적극 반영한 중후한 멋과 고품격의 디자인, 그리고 100% 수작업의 하이 퀄리티의 뱅골프 캐디백";"1,510,000"
8;"2022-12-15 15:35:44";"uploads/pou-yellow1671086144103.jpg";"[뱅골프] BANG QUILTING LINE(YELLOW) BOSTON BAG";"BANG Premium Golf-Bag Yellow";"뱅골프 클럽의 컬러를 적용한 디자인 품격있는 명품 골프백!! 뱅골프 드라이버의 헤드 컬러를 골프백에 적용하고, 품격있는 디자인으로 탄생한 100% 수작업의 하이퀄리티 보스턴백 !!";"540,000"
9;"2022-12-15 15:37:51";"uploads/wedge-still1671086284031.jpg";" [뱅골프] FUNJOY WEDGE GRAPHITE (남자)";"Graphite 갈퀴형 (남성용/여성용)";"갈퀴형의 경우 잔디벙커 또는 모래벙커에서의 탈출이 쉬워집니다 획기적인 아이디어로 과학적 설계 디자인";"	 600,000"
